name,1-1-mtk,1-2-mtk,2-1-mtk,2-2-mtk,1-1-ing,1-2-ing,2-1-ing,2-2-ing,1-1-bhs,1-2-bhs,2-1-bhs,2-2-bhs,1-1-kkm_bhs,1-2-kkm_bhs,2-1-kkm_bhs,2-2-kkm_bhs,1-1-kkm_ing,1-2-kkm_ing,2-1-kkm_ing,2-2-kkm_ing,1-1-kkm_mtk,1-2-kkm_mtk,2-1-kkm_mtk,2-2-kkm_mtk,IPK
student29,85.00,85.00,86.00,92.00,93.00,87.00,82.00,83.00,79.00,82.00,86.00,88.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,3.723255
student30,78.00,80.00,83.00,88.00,80.00,82.00,84.00,86.00,84.00,86.00,88.00,89.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.679069
student31,80.00,83.00,80.00,80.00,94.00,91.00,92.00,91.00,79.00,82.00,86.00,84.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.748837
student32,88.00,89.00,91.00,92.00,87.00,88.00,89.00,91.00,85.00,85.00,88.00,88.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,3.745454
student33,85.00,84.00,85.00,85.00,89.00,89.00,89.00,95.00,91.00,96.00,92.00,91.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,2.790476
student34,88.00,91.00,89.00,90.00,90.00,90.00,89.00,95.00,81.00,93.00,94.00,96.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.927777
student35,92.00,92.00,98.00,98.00,91.00,90.00,92.00,92.00,91.00,92.00,95.00,96.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,4.000000
student36,85.00,88.00,86.00,91.00,86.00,88.00,89.00,90.00,78.00,83.00,84.00,84.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,3.970000
student37,96.00,95.00,93.00,90.00,88.00,88.00,90.00,88.00,90.00,90.00,90.00,90.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,70.00,70.00,70.00,70.00,3.345000
student38,86.00,87.00,88.00,89.00,88.00,84.00,87.00,90.00,87.00,90.00,91.00,92.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,3.817500
student39,75.00,78.00,77.00,78.00,80.00,77.00,80.00,81.00,76.00,76.00,87.00,85.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,2.957500
student40,87.00,89.00,90.00,96.00,91.00,96.00,82.00,89.00,85.00,89.00,91.00,91.00,75.00,75.00,76.00,76.00,75.00,75.00,76.00,76.00,75.00,75.00,76.00,76.00,3.688372
student41,81.00,78.00,84.00,85.00,86.00,87.00,93.00,93.00,83.00,92.00,83.00,94.00,70.00,70.00,71.00,71.00,70.00,70.00,71.00,71.00,70.00,70.00,71.00,71.00,3.860465
student42,88.00,78.00,83.00,84.00,85.00,83.00,85.00,90.00,86.00,82.00,84.00,90.00,74.00,70.00,75.00,75.00,74.00,70.00,75.00,75.00,74.00,70.00,75.00,75.00,3.651162
student43,81.00,88.00,90.00,87.00,87.00,88.00,90.00,84.00,90.00,84.00,86.00,87.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,3.632558
student44,95.00,91.00,94.00,96.00,86.00,93.00,96.00,96.00,85.00,92.00,87.00,93.00,75.00,75.00,76.00,76.00,75.00,75.00,76.00,76.00,75.00,75.00,76.00,76.00,3.944186
student45,74.00,72.00,77.00,78.00,86.00,81.00,77.00,84.00,83.00,91.00,92.00,94.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.367441
student46,85.00,95.00,86.00,77.00,98.00,93.00,94.00,93.00,88.00,86.00,84.00,88.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.797674
student47,86.00,80.00,80.00,83.00,75.00,78.00,86.00,88.00,88.00,90.00,90.00,91.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.704651
student48,78.00,79.00,82.00,83.00,85.00,86.00,88.00,90.00,81.00,84.00,85.00,90.00,70.00,70.00,75.00,75.00,70.00,70.00,75.00,75.00,70.00,70.00,75.00,75.00,3.565116
student49,88.00,88.00,88.00,90.00,85.00,85.00,86.00,85.00,81.00,85.00,88.00,88.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.505000
student50,90.00,93.00,87.00,89.00,88.00,88.00,87.00,90.00,73.00,83.00,84.00,84.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,3.835000
student51,90.00,95.00,91.00,89.00,90.00,97.00,90.00,90.00,94.00,92.00,93.00,90.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,3.962500
student52,87.00,88.00,88.00,90.00,87.00,81.00,79.00,81.00,85.00,84.00,85.00,86.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,73.00,3.562790
student53,85.00,86.00,84.00,92.00,82.00,83.00,85.00,87.00,85.00,87.00,89.00,89.00,72.00,72.00,74.00,74.00,72.00,72.00,74.00,74.00,72.00,72.00,74.00,74.00,3.771428
student54,92.00,92.00,92.00,90.00,82.00,86.00,86.00,90.00,83.00,87.00,88.00,88.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.909523
student55,75.00,83.00,82.00,79.00,85.00,95.00,91.00,96.00,83.00,87.00,88.00,85.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,3.539473
student56,80.00,84.00,88.00,90.00,84.00,86.00,88.00,89.00,80.00,83.00,86.00,88.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,2.636842
student57,78.00,74.00,80.00,70.00,75.00,76.00,80.00,77.00,72.00,76.00,85.00,80.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.567441
student58,80.00,87.00,86.00,88.00,91.00,92.00,90.00,93.00,92.00,92.00,94.00,93.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.744186
student59,74.00,86.00,79.00,72.00,82.00,73.00,73.00,72.00,95.00,90.00,83.00,79.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.369047
student60,71.00,79.00,76.00,76.00,83.00,86.00,85.00,80.00,81.00,74.00,84.00,76.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.588372
student61,81.00,84.00,90.00,81.00,91.00,93.00,91.00,91.00,79.00,79.00,82.00,80.00,75.00,75.00,75.00,75.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.744186
student62,84.00,83.00,86.00,85.00,85.00,86.00,88.00,80.00,90.00,90.00,85.00,83.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.341860
student63,83.00,87.00,90.00,91.00,88.00,88.00,88.00,89.00,85.00,89.00,88.00,89.00,70.00,70.00,70.00,75.00,70.00,70.00,70.00,75.00,70.00,70.00,70.00,75.00,3.917500
student64,76.00,76.00,89.00,93.00,79.00,79.00,86.00,84.00,78.00,90.00,88.00,88.00,67.00,67.00,70.00,70.00,67.00,67.00,70.00,70.00,67.00,67.00,70.00,70.00,3.600000
student65,97.00,97.00,88.00,82.00,90.00,83.00,90.00,89.00,85.00,82.00,87.00,87.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.261363
student66,75.00,85.00,85.00,87.00,87.00,87.00,89.00,90.00,80.00,85.00,90.00,93.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.959090
student67,88.00,86.00,85.00,73.00,89.00,80.00,84.00,87.00,85.00,75.00,84.00,84.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.409090
student68,74.00,76.00,84.00,84.00,85.00,85.00,90.00,88.00,86.00,78.00,94.00,94.00,67.00,67.00,70.00,70.00,67.00,67.00,70.00,70.00,67.00,67.00,70.00,70.00,3.865000
student69,81.67,82.75,86.80,90.00,90.00,90.00,90.00,88.00,84.00,84.00,97.00,98.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,3.737209
student70,80.00,95.00,96.00,95.00,88.00,82.00,82.00,82.00,93.00,93.00,80.00,80.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.453488
student71,77.00,74.00,81.00,90.00,93.00,94.00,93.00,95.00,87.00,86.00,84.00,89.00,70.00,70.00,73.00,73.00,70.00,70.00,73.00,73.00,70.00,70.00,73.00,73.00,3.783720
student72,96.00,98.00,97.00,98.00,95.00,94.00,95.00,99.00,93.00,96.00,97.00,96.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,3.904651
student73,94.00,87.00,90.00,83.00,94.00,93.00,87.00,88.00,77.00,90.00,91.00,85.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,3.639473
student74,84.00,90.00,86.00,91.00,88.00,86.00,88.00,92.00,83.00,85.00,87.00,89.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.966666
student75,85.00,91.00,85.00,90.00,85.00,88.00,90.00,85.00,90.00,90.00,93.00,94.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,
student76,80.00,84.00,83.00,84.00,84.00,82.00,89.00,93.00,80.00,82.00,83.00,83.00,75.00,75.00,77.00,77.00,75.00,75.00,77.00,77.00,75.00,75.00,77.00,77.00,3.681818
student77,92.00,93.00,86.00,85.00,83.00,86.00,87.00,89.00,95.00,95.00,97.00,98.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,70.00,67.00,67.00,67.00,67.00,3.083333
student78,83.00,83.00,90.00,91.00,80.00,84.00,81.00,77.00,84.00,86.00,84.00,84.00,67.00,67.00,70.00,70.00,67.00,67.00,70.00,70.00,67.00,67.00,70.00,70.00,
student79,84.00,86.00,90.00,92.00,82.00,86.00,90.00,96.00,81.00,86.00,89.00,94.00,67.00,67.00,72.00,72.00,67.00,67.00,72.00,72.00,67.00,67.00,72.00,72.00,3.302500
student80,90.00,87.00,89.00,98.00,93.00,95.00,95.00,95.00,92.00,92.00,87.00,83.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.222500
student81,78.00,76.00,78.00,78.00,92.00,86.00,91.00,90.00,77.00,77.00,90.00,90.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,3.370000
student82,87.00,75.00,97.00,97.00,93.00,90.00,93.00,90.00,85.00,89.00,80.00,86.00,78.00,78.00,78.00,78.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.422500
student83,82.00,85.00,84.00,88.00,85.00,86.00,87.00,89.00,89.00,89.00,90.00,91.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.582500
student84,88.00,83.00,87.00,88.00,92.00,92.00,87.00,94.00,90.00,95.00,95.00,95.00,70.00,70.00,75.00,75.00,70.00,70.00,75.00,75.00,70.00,70.00,75.00,75.00,3.724390
student85,81.00,83.00,82.00,83.00,82.00,83.00,85.00,87.00,72.00,75.00,81.00,77.00,70.00,70.00,73.00,73.00,70.00,70.00,73.00,73.00,70.00,70.00,73.00,73.00,3.744186
student86,84.00,90.00,96.00,94.00,89.00,82.00,88.00,80.00,81.00,83.00,83.00,78.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,3.958139
student87,87.00,89.00,92.00,94.00,85.00,87.00,92.00,93.00,90.00,92.00,92.00,92.00,75.00,75.00,76.00,76.00,75.00,75.00,76.00,76.00,75.00,75.00,76.00,76.00,0.000000
student88,92.00,95.00,86.00,88.00,87.00,80.00,80.00,88.00,86.00,79.00,84.00,85.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.423255
student89,83.00,90.00,87.00,78.00,75.00,80.00,80.00,78.00,81.00,83.00,83.00,84.00,72.00,70.00,71.00,71.00,73.00,73.00,73.00,73.00,70.00,70.00,70.00,70.00,3.130000
student90,87.00,87.00,87.00,87.00,90.00,91.00,87.00,89.00,81.00,86.00,86.00,86.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.553488
student91,73.00,75.00,77.00,82.00,84.00,83.00,87.00,88.00,80.00,78.00,90.00,88.00,67.00,67.00,70.00,70.00,67.00,67.00,70.00,70.00,67.00,67.00,70.00,70.00,3.741463
student92,81.00,84.00,79.00,78.00,83.00,88.00,85.00,86.00,84.00,84.00,82.00,87.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.305000
student93,93.00,90.00,90.00,91.00,87.00,94.00,86.00,91.00,86.00,87.00,91.00,82.00,76.00,76.00,76.00,76.00,76.00,76.00,76.00,76.00,76.00,76.00,76.00,76.00,
student94,82.00,75.00,86.00,93.00,82.00,73.00,85.00,85.00,83.00,90.00,91.00,91.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,2.781578
student95,78.00,81.00,84.00,85.00,75.00,84.00,86.00,93.00,90.00,90.00,87.00,89.00,75.00,75.00,67.00,67.00,75.00,75.00,67.00,67.00,75.00,75.00,67.00,67.00,3.651162
student96,84.00,87.00,90.00,91.00,84.00,85.00,88.00,90.00,83.00,87.00,90.00,92.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.411904
student97,82.00,86.00,87.00,91.00,85.00,86.00,84.00,85.00,83.00,86.00,88.00,90.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.804651
student98,90.00,98.00,87.00,87.00,88.00,92.00,97.00,97.00,94.00,95.00,92.00,92.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,2.102500
student99,84.00,86.00,96.00,95.00,88.00,89.00,87.00,85.00,88.00,90.00,83.00,88.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.416279
student100,77.00,78.00,82.00,85.00,80.00,81.00,82.00,83.00,77.00,75.00,94.00,87.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.300000
student101,88.00,90.00,92.00,93.00,80.00,86.00,93.00,94.00,87.00,88.00,90.00,90.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.944444
student102,100.00,100.00,99.00,90.00,93.00,92.00,88.00,92.00,89.00,92.00,88.00,89.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.645000
student103,94.00,90.00,88.00,100.00,88.00,89.00,79.00,80.00,90.00,83.00,88.00,85.00,70.00,70.00,71.00,71.00,70.00,70.00,72.00,72.00,72.00,72.00,73.00,73.00,
student104,87.00,87.00,91.00,91.00,84.00,84.00,84.00,92.00,89.00,92.00,90.00,91.00,71.00,71.00,72.00,72.00,71.00,71.00,72.00,72.00,71.00,71.00,72.00,72.00,3.890000
student105,82.00,91.00,91.00,91.00,83.00,87.00,83.00,91.00,86.00,91.00,91.00,91.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.316279
student106,85.00,84.00,80.00,78.00,84.00,79.00,79.00,79.00,88.00,83.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,3.550000
student107,84.00,84.00,85.00,87.00,87.00,84.00,88.00,86.00,83.00,85.00,88.00,89.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,3.600000
student108,81.00,83.00,89.00,89.00,85.00,88.00,89.00,88.00,80.00,87.00,82.00,85.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,67.00,3.405000
student109,84.00,91.00,91.00,90.00,91.00,90.00,94.00,78.00,86.00,89.00,92.00,83.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.740000
student110,95.00,81.00,88.00,87.00,85.00,89.00,93.00,88.00,90.00,89.00,90.00,88.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.910000
student111,93.00,97.00,97.00,100.00,87.00,89.00,92.00,96.00,88.00,98.00,96.00,95.00,70.00,70.00,75.00,75.00,70.00,70.00,75.00,75.00,70.00,70.00,70.00,70.00,3.765000
student112,85.00,87.00,91.00,86.00,87.00,91.00,84.00,85.00,89.00,88.00,89.00,90.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,3.760000
student113,84.00,82.00,78.00,81.00,86.00,88.00,87.00,85.00,85.00,83.00,96.00,84.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.675000
student114,75.00,83.00,82.00,78.00,84.00,87.00,88.00,86.00,85.00,89.00,90.00,88.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,
student115,85.00,90.00,83.00,75.00,82.00,90.00,89.00,84.00,84.00,93.00,85.00,96.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.590000
student116,82.00,92.00,87.00,86.00,84.00,95.00,89.00,88.00,91.00,85.00,93.00,86.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,2.625000
student117,88.00,88.00,93.00,87.00,85.00,94.00,86.00,91.00,92.00,90.00,93.00,93.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,3.865000
student118,83.00,83.00,80.00,79.00,87.00,87.00,94.00,78.00,83.00,85.00,85.00,84.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,0.250000
student119,87.00,86.00,90.00,91.00,85.00,95.00,88.00,91.00,90.00,88.00,95.00,90.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,3.695000
student120,75.00,81.00,80.00,80.00,83.00,88.00,79.00,88.00,89.00,85.00,80.00,84.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,3.495000
student121,79.00,82.00,85.00,78.00,87.00,89.00,90.00,89.00,80.00,88.00,90.00,89.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,3.425000
student122,81.00,76.00,87.00,80.00,76.00,84.00,84.00,90.00,84.00,89.00,82.00,81.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,75.00,75.00,78.00,78.00,1.175000
student123,85.00,86.00,87.00,87.00,82.00,86.00,92.00,93.00,84.00,85.00,85.00,85.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,72.00,3.489473
student124,83.00,84.00,89.00,83.00,90.00,91.00,92.00,85.00,82.00,85.00,76.00,89.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.663157
student125,88.00,94.00,90.00,93.00,92.00,92.00,89.00,85.00,87.00,90.00,92.00,87.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.692105
student126,80.00,80.00,82.00,81.00,79.00,80.00,85.00,86.00,72.00,84.00,88.00,78.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,71.00,3.076315
student127,89.00,89.00,89.00,89.00,85.00,88.00,87.00,92.00,84.00,89.00,90.00,90.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.507894
student128,90.00,81.00,84.00,85.00,82.00,86.00,89.00,91.00,79.00,83.00,86.00,84.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,3.352631
student129,80.00,82.00,83.00,84.00,80.00,82.00,83.00,84.00,80.00,82.00,83.00,85.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,3.444736
student130,78.00,77.00,82.00,82.00,90.00,85.00,80.00,82.00,88.00,88.00,88.00,90.00,70.00,70.00,75.00,75.00,70.00,70.00,75.00,75.00,70.00,70.00,75.00,75.00,2.626315
